CAMPUS,CAMPNAME,C_RATING,GRDSPAN,GRDTYPE
'194903001,RIVERCREST H S,A,'09 - 12,S
'194903102,RIVERCREST J H,C,'06 - 08,M
'194903103,RIVERCREST EL,B,'EE - 05,E
'194904002,CLARKSVILLE MIDDLE AND H S,C,'06 - 12,B
'194904103,CHEATHAM EL,C,'PK - 05,E
'194905001,DETROIT H S,B,'09 - 12,S
'194905041,DETROIT J H,B,'06 - 08,M
'194905101,DETROIT EL,B,'EE - 05,E
'195901001,PECOS H S,Data Integrity Issues,'09 - 12,S
'195901042,CROCKETT MIDDLE,F,'06 - 08,M
'195901101,PECOS KIND,C,'EE - KG,E
'195901106,AUSTIN EL,C,'01 - 03,E
'195901109,HAYNES EL,C,'04 - 05,E
'195902001,BALMORHEA SCHOOL,B,'PK - 12,B
'196901001,AUSTWELL-TIVOLI H S,C,'06 - 12,B
'196901102,AUSTWELL-TIVOLI EL,B,'PK - 05,E
'196902001,WOODSBORO H S,B,'07 - 12,S
'196902102,WOODSBORO EL,C,'PK - 06,E
'196903001,REFUGIO H S,C,'09 - 12,S
'196903042,REFUGIO J H,C,'07 - 08,M
'196903103,REFUGIO EL,C,'PK - 06,E
'197902001,MIAMI SCHOOL,B,'PK - 12,B
'198901001,BREMOND H S,A,'09 - 12,S
'198901041,BREMOND MIDDLE,C,'06 - 08,M
'198901101,BREMOND EL,B,'PK - 05,E
'198902101,CALVERT SCHOOL,B,'PK - 12,B
'198903001,FRANKLIN H S,A,'09 - 12,S
'198903041,FRANKLIN MIDDLE,A,'05 - 08,M
'198903101,ROLAND REYNOLDS EL,A,'EE - 04,E
'198905002,HEARNE H S,Data Integrity Issues,'09 - 12,S
'198905042,HEARNE J H,C,'07 - 08,M
'198905104,HEARNE EL,F,'EE - 06,E
'198906001,MUMFORD H S,A,'07 - 12,S
'198906101,MUMFORD EL,B,'PK - 06,E
'199901001,ROCKWALL H S,A,'09 - 12,S
'199901002,ROCKWALL QUEST ACADEMY,A,'09 - 12,S
'199901004,ROCKWALL-HEATH H S,A,'09 - 12,S
'199901042,J W WILLIAMS MIDDLE,A,'07 - 08,M
'199901043,MAURINE CAIN MIDDLE,A,'07 - 08,M
'199901044,HERMAN E UTLEY MIDDLE,A,'07 - 08,M
'199901101,VIRGINIA REINHARDT EL,B,'KG - 06,E
'199901102,HOWARD DOBBS EL,C,'PK - 06,E
'199901103,AMANDA ROCHELL EL,C,'PK - 06,E
'199901105,DORIS CULLINS-LAKE POINTE EL,C,'PK - 06,E
'199901106,AMY PARKS-HEATH EL,A,'KG - 06,E
'199901107,NEBBIE WILLIAMS EL,A,'KG - 06,E
'199901108,DOROTHY SMITH PULLEN EL,A,'KG - 06,E
'199901109,DORRIS A JONES EL,B,'PK - 06,E
'199901110,GRACE HARTMAN EL,B,'PK - 06,E
'199901111,OUIDA SPRINGER,B,'PK - 06,E
'199901112,CELIA HAYS EL,B,'EE - 06,E
'199901113,SHARON SHANNON EL,B,'KG - 06,E
'199901114,BILLIE STEVENSON EL,A,'EE - 06,E
'199901115,LINDA LYON EL,A,'EE - 06,E
'199902002,ROYSE CITY H S,B,'09 - 12,S
'199902041,ROYSE CITY MIDDLE,C,'07 - 08,M
'199902042,RUTH CHERRY INT,C,'05 - 06,M
'199902043,HARRY H HERNDON,C,'05 - 06,M
'199902102,DAVIS EL,D,'PK - 04,E
'199902104,ANITA SCOTT EL,C,'EE - 04,E
'199902105,W R (BILL) FORT EL,A,'EE - 04,E
'199902106,MISS MAY VERNON EL,C,'PK - 04,E
'200901001,BALLINGER H S,B,'09 - 12,S
'200901003,FAIRVIEW ACCELERATED,Not Rated,'12 - 12,S
'200901041,BALLINGER J H,D,'06 - 08,M
'200901101,BALLINGER EL,B,'EE - 05,E
'200902001,MILES H S,A,'07 - 12,S
'200902101,MILES EL,A,'PK - 06,E
'200904001,WINTERS H S,B,'09 - 12,S
'200904041,WINTERS J H,F,'06 - 08,M
'200904101,WINTERS EL,B,'EE - 05,E
'200906101,OLFEN SCHOOL,B,'KG - 12,B
'200906103,WALL SPECIAL PROGRAMS,Not Rated,'08 - 08,M
'201902001,HENDERSON H S,B,'09 - 12,S
'201902041,HENDERSON MIDDLE,C,'06 - 08,M
'201902107,MONNIE MEYER WYLIE PRI,B,'EE - KG,E
'201902108,NORTHSIDE EL,B,'04 - 05,E
'201902109,WILLIAM E WYLIE EL,B,'01 - 03,E
'201903001,LANEVILLE SCHOOL,B,'EE - 12,B
'201904001,LEVERETTS CHAPEL H S,A,'09 - 12,S
'201904041,LEVERETTS CHAPEL J H,B,'06 - 08,M
'201904101,LEVERETTS CHAPEL EL,B,'PK - 05,E
'201907001,MT ENTERPRISE H S,B,'06 - 12,B
'201907101,MT ENTERPRISE EL,C,'PK - 05,E
'201908001,OVERTON H S,B,'06 - 12,B
'201908101,OVERTON EL,D,'PK - 05,E
'201910002,TATUM H S,A,'09 - 12,S
'201910041,TATUM MIDDLE,B,'06 - 08,M
'201910102,TATUM EL,B,'03 - 05,E
'201910104,TATUM PRI,B,'EE - 02,E
'201913001,CARLISLE SCHOOL,B,'PK - 12,B
'201914001,WEST RUSK H S,C,'09 - 12,S
'201914004,ELDER COOP ALTERNATIVE SCHOOL,Not Rated,'08 - 08,M
'201914041,WEST RUSK MIDDLE,C,'06 - 08,M
'201914104,WEST RUSK INT,C,'03 - 05,E
'201914105,WEST RUSK EL,C,'PK - 02,E
'202903001,HEMPHILL H S,B,'09 - 12,S
'202903041,HEMPHILL MIDDLE,C,'05 - 08,M
'202903101,HEMPHILL EL,F,'EE - 04,E
'202905002,WEST SABINE H S,C,'06 - 12,B
'202905102,WEST SABINE EL,B,'PK - 05,E
'203901002,SAN AUGUSTINE H S,B,'06 - 12,B
'203901102,SAN AUGUSTINE EL,D,'PK - 05,E
'203902001,BROADDUS H S,C,'06 - 12,B
'203902101,BROADDUS EL,B,'PK - 05,E
'204901001,COLDSPRING-OAKHURST H S,C,'09 - 12,S
'204901041,LINCOLN J H,D,'06 - 08,M
'204901102,STREET EL,F,'PK - 02,E
'204901103,COLDSPRING INT,F,'03 - 05,E
'204904001,SHEPHERD H S,B,'09 - 12,S
'204904041,SHEPHERD MIDDLE,F,'06 - 08,M
'204904101,SHEPHERD PRI,F,'PK - 02,E
'204904102,SHEPHERD INT,F,'03 - 05,E
'205901001,ARANSAS PASS H S,B,'09 - 12,S
'205901041,A C BLUNT MIDDLE,C,'06 - 08,M
'205901101,H T FAULK EARLY CHILDHOOD SCHOOL,C,'EE - 01,E
'205901102,W A KIEBERGER EL,C,'02 - 03,E
'205901104,CHARLIE MARSHALL EL,C,'04 - 05,E
'205902001,GREGORY-PORTLAND H S,B,'09 - 12,S
'205902041,GREGORY-PORTLAND MIDDLE,B,'06 - 08,M
'205902101,AUSTIN EL,C,'EE - 05,E
'205902102,CLARK EL,B,'PK - 05,E
'205902103,EAST CLIFF EL,A,'KG - 05,E
'205902104,ANDREWS EL,C,'KG - 05,E
'205903001,INGLESIDE H S,B,'09 - 12,S
'205903042,LEON TAYLOR J H,A,'07 - 08,M
'205903102,INGLESIDE PRIMARY SCHOOL,D,'EE - 01,E
'205903103,BLASCHKE/SHELDON EL,B,'05 - 06,M
'205903104,GILBERT J MIRCOVICH ELEMENTARY,D,'02 - 04,E
'205904001,MATHIS H S,B,'09 - 12,S
'205904041,MATHIS MIDDLE,B,'06 - 08,M
'205904101,MATHIS EL,B,'EE - 02,E
'205904102,MATHIS INT,B,'03 - 05,E
'205905001,ODEM H S,B,'09 - 12,S
'205905041,ODEM J H,B,'06 - 08,M
'205905101,ODEM INT,C,'03 - 05,E
'205905103,ODEM EL,C,'PK - 02,E
'205906001,SINTON H S,B,'09 - 12,S
'205906002,JUVENILE DETENTION CTR,Not Rated,'05 - 11,B
'205906041,E MERLE SMITH MIDDLE,C,'06 - 08,M
'205906103,WELDER EL,C,'EE - 02,E
'205906105,SINTON EL,C,'03 - 05,E
'205907001,TAFT H S,B,'09 - 12,S
'205907041,TAFT J H,D,'06 - 08,M
'205907101,WOODROE PETTY EL,D,'PK - 05,E
'206901001,SAN SABA H S,B,'09 - 12,S
'206901041,SAN SABA MIDDLE,B,'05 - 08,M
'206901101,SAN SABA EL,D,'EE - 04,E
'206902001,RICHLAND SPRINGS SCHOOL,B,'KG - 12,B
'206903001,CHEROKEE SCHOOL,B,'PK - 12,B
'207901001,ELDORADO H S,B,'09 - 12,S
'207901041,ELDORADO MIDDLE,B,'05 - 08,M
'207901101,ELDORADO EL,C,'PK - 04,E
'208901001,HERMLEIGH SCHOOL,C,'PK - 12,B
'208902001,SNYDER H S,C,'09 - 12,S
'208902041,SNYDER J H,F,'06 - 08,M
'208902109,SNYDER PRI,B,'EE - 03,E
'208902110,SNYDER INT,C,'04 - 05,E
'208903001,IRA SCHOOL,A,'PK - 12,B
'209901001,ALBANY JR-SR H S,B,'07 - 12,S
'209901101,NANCY SMITH EL,D,'EE - 06,E
'209902001,MORAN SCHOOL,C,'PK - 12,B
'210901001,CENTER H S,B,'09 - 12,S
'210901002,ROUGHRIDER ACADEMY,B,'09 - 12,S
'210901041,CENTER MIDDLE,B,'06 - 08,M
'210901101,CENTER EL,C,'01 - 03,E
'210901102,CENTER INT,B,'04 - 05,E
'210901104,F L MOFFETT PRI,C,'EE - KG,E
'210902001,JOAQUIN H S,B,'09 - 12,S
'210902041,JOAQUIN J H SCHOOL,B,'06 - 08,M
'210902102,JOAQUIN EL,B,'EE - 05,E
'210903002,SHELBYVILLE SCHOOL,B,'EE - 12,B
'210904002,TENAHA SCHOOLS,B,'PK - 12,B
'210905001,TIMPSON SCHOOL,B,'PK - 12,B
'210906101,EXCELSIOR EL,C,'PK - 08,E
'211901101,TEXHOMA EL,A,'PK - 04,E
'211902001,STRATFORD H S,B,'09 - 12,S
'211902041,STRATFORD J H,B,'05 - 08,M
'211902102,MARY ALLEN EL,C,'EE - 04,E
'212801001,CUMBERLAND H S,C,'09 - 12,S
'212801041,CUMBERLAND ACADEMY MIDDLE,C,'06 - 08,M
'212801101,CUMBERLAND ACADEMY,C,'KG - 05,E
'212801102,THE LEADERSHIP ACADEMY,C,'KG - 07,E
'212804001,UT TYLER UNIVERSITY ACADEMY AT TYL,B,'KG - 12,B
'212804102,UT TYLER UNIVERSITY ACADEMY AT LON,A,'01 - 12,B
'212804103,UT TYLER UNIVERSITY ACADEMY AT PAL,A,'03 - 12,B
'212901001,ARP H S,B,'09 - 12,S
'212901041,ARP J H,B,'06 - 08,M
'212901101,ARP EL,C,'PK - 05,E
'212902001,BULLARD H S,A,'09 - 12,S
'212902041,BULLARD MS,A,'07 - 08,M
'212902101,BULLARD EL,B,'03 - 04,E
'212902102,BULLARD INT,B,'05 - 06,M
'212902103,BULLARD EARLY CHILDHOOD,B,'EE - KG,E
'212902104,BULLARD PRI,B,'KG - 02,E
'212903001,LINDALE H S,A,'09 - 12,S
'212903041,LINDALE JUNIOR HIGH,A,'07 - 08,M
'212903101,COLLEGE STREET EL,B,'01 - 03,E
'212903102,VELMA PENNY EL,A,'01 - 03,E
'212903103,E J MOSS INT,B,'04 - 06,E
'212903104,EARLY CHILDHOOD CENTER,A,'EE - KG,E
'212904002,TROUP H S,A,'09 - 12,S
'212904041,TROUP MIDDLE,B,'06 - 08,M
'212904102,TROUP EL,B,'PK - 05,E
'212905001,ROBERT E LEE H S,B,'09 - 12,S
'212905003,JOHN TYLER H S,C,'09 - 12,S
'212905006,TYLER ISD H S,A,'09 - 12,S
'212905010,ALVIN V ANDERSON RISE ACADEMY,D,'09 - 12,S
'212905041,BOULTER MIDDLE,D,'06 - 08,M
'212905043,HOGG MIDDLE,F,'06 - 08,M
'212905044,HUBBARD MIDDLE,C,'06 - 08,M
'212905045,MOORE MST MAGNET SCHOOL,B,'06 - 08,M
'212905049,THREE LAKES MIDDLE,C,'06 - 08,M
'212905101,T J AUSTIN EL,D,'EE - 05,E
'212905102,BELL EL,B,'KG - 05,E
'212905103,BIRDWELL EL,B,'PK - 05,E
'212905104,BONNER EL,B,'PK - 05,E
'212905106,CLARKSTON EL,D,'EE - 05,E
'212905107,DIXIE EL,B,'EE - 05,E
'212905108,DOUGLAS EL,B,'PK - 05,E
'212905109,OWENS EL,B,'PK - 05,E
'212905110,CALDWELL ARTS ACADEMY,B,'KG - 06,E
'212905111,GRIFFIN EL,C,'PK - 05,E
'212905112,JONES EL,D,'EE - 05,E
'212905114,ORR EL,C,'KG - 05,E
'212905115,PEETE EL,C,'KG - 05,E
'212905116,RAMEY EL,C,'EE - 05,E
'212905117,RICE EL,C,'EE - 05,E
'212905119,WOODS EL,B,'EE - 05,E
'212905125,DR BRYAN C JACK EL,A,'KG - 05,E
'212905130,ST LOUIS EARLY CHILDHOOD CENTER,B,'EE - PK,E
'212906001,WHITEHOUSE H S,A,'09 - 12,S
'212906041,WHITEHOUSE J H,A,'06 - 08,M
'212906042,J W HOLLOWAY SIXTH GRADE SCHOOL,B,'06 - 06,M
'212906111,GUS WINSTON CAIN EL,A,'EE - 05,E
'212906112,MOZELLE BROWN EL,B,'EE - 05,E
'212906113,H L HIGGINS EL,A,'PK - 05,E
'212906114,STANTON-SMITH EL,A,'EE - 05,E
'212909001,CHAPEL HILL H S,B,'09 - 12,S
'212909042,CHAPEL HILL MIDDLE,C,'06 - 08,M
'212909101,WISE EL FINE ARTS MAGNET,C,'EE - 05,E
'212909102,JACKSON EL,C,'PK - 05,E
'212909103,W L KISSAM EL,D,'EE - 05,E
'212910001,WINONA H S,C,'09 - 12,S
'212910041,WINONA MIDDLE,F,'06 - 08,M
'212910101,WINONA EL,B,'EE - 05,E
'213801001,BRAZOS RIVER CHARTER SCHOOL,C,'KG - 12,B
'213901001,GLEN ROSE H S,A,'09 - 12,S
'213901041,GLEN ROSE J H,B,'06 - 08,M
'213901101,GLEN ROSE EL,A,'EE - 02,E
'213901102,GLEN ROSE INT,A,'03 - 05,E
'214901001,RIO GRANDE CITY H S,B,'09 - 12,S
'214901003,RIO GRANDE CITY CISD GRULLA H S,B,'09 - 12,S
'214901005,PREPARATORY FOR H S,A,'09 - 12,S
'214901041,GRULLA MIDDLE,C,'06 - 08,M
'214901042,RINGGOLD MIDDLE,C,'06 - 08,M
'214901044,VETERANS MIDDLE,C,'06 - 08,M
'214901102,GRULLA EL,F,'EE - 05,E
'214901103,LA UNION EL,B,'PK - 05,E
'214901104,ALBERTO AND CELIA BARRERA EL,B,'EE - 05,E
'214901105,JOHN & OLIVE HINOJOSA EL,A,'EE - 05,E
'214901107,RINGGOLD EL,B,'PK - 05,E
'214901108,ROQUE GUERRA JR EL,B,'PK - 05,E
'214901110,ALTO BONITO EL,B,'PK - 05,E
'214901111,GENERAL RICARDO SANCHEZ EL,B,'PK - 05,E
'214901112,DR MARIO E RAMIREZ EL,B,'EE - 05,E
'214902001,SAN ISIDRO H S,A,'09 - 12,S
'214902101,SAN ISIDRO EL,D,'PK - 08,E
'214903001,ROMA H S,B,'09 - 12,S
'214903003,INSTRUCTIONAL & GUIDANCE CENTER,Not Rated,'06 - 12,B
'214903041,ROMA MIDDLE,B,'06 - 08,M
'214903042,RAMIRO BARRERA MIDDLE,C,'06 - 08,M
'214903103,FLORENCE J SCOTT EL,A,'PK - 05,E
'214903105,RT BARRERA EL,A,'PK - 05,E
'214903106,EMMA VERA EL,A,'PK - 05,E
'214903108,ROEL A & CELIA R SAENZ EL,A,'PK - 05,E
'214903109,VETERANS MEMORIAL EL,B,'PK - 05,E
'214903110,DELIA GONZALEZ GARCIA EL,A,'PK - 05,E
'215901001,BRECKENRIDGE H S,C,'09 - 12,S
'215901041,BRECKENRIDGE J H,D,'07 - 08,M
'215901101,EAST EL,F,'EE - 01,E
'215901102,NORTH EL,F,'02 - 03,E
'215901103,SOUTH EL,D,'04 - 06,E
'216901001,STERLING CITY SCHOOL,B,'KG - 12,B
'216901002,FAIRVIEW ACCELERATED,Not Rated,'10 - 12,S
'216901180,WALL SPECIAL PROGRAMS,Not Rated,'04 - 07,M
'217901001,ASPERMONT H S,B,'06 - 12,B
'217901101,ASPERMONT EL,C,'EE - 05,E
'218901001,SONORA H S,B,'09 - 12,S
'218901041,SONORA J H,B,'06 - 08,M
'218901103,SONORA EL,B,'PK - 05,E
'219901001,HAPPY H S,A,'07 - 12,S
'219901101,HAPPY EL,C,'PK - 06,E
'219903001,TULIA H S,C,'09 - 12,S
'219903041,TULIA J H,B,'06 - 08,M
'219903101,TULIA HIGHLAND EL,C,'EE - 02,E
'219903102,W V SWINBURN EL,C,'03 - 05,E
'219905001,KRESS H S,B,'07 - 12,S
'219905101,KRESS EL,D,'PK - 06,E
'220801001,TREETOPS SCHOOL INTERNATIONAL,B,'KG - 12,B
'220802040,ARLINGTON CLASSICS ACADEMY - MIDDL,A,'06 - 09,M
'220802101,ARLINGTON CLASSICS ACADEMY - ARKAN,Not Rated,'KG - 02,E
'220802102,ARLINGTON CLASSICS ACADEMY -INTERM,A,'03 - 05,E
'220809001,FORT WORTH ACADEMY OF FINE ARTS,A,'07 - 12,S
'220809101,FORT WORTH ACADEMY OF FINE ARTS EL,B,'03 - 06,E
'220810001,WESTLAKE ACADEMY,A,'KG - 12,B
'220811101,EAST FORT WORTH MONTESSORI ACADEMY,D,'PK - 05,E
'220814101,TEXAS SCHOOL OF THE ARTS,B,'KG - 06,E
'220815101,CHAPEL HILL ACADEMY,D,'PK - 06,E
'220817001,NEWMAN INTERNATIONAL ACADEMY OF AR,B,'PK - 12,B
'220817002,NEWMAN INTERNATIONAL AT CEDAR HILL,B,'PK - 12,B
'220817003,NEWMAN INTERNATIONAL ACADEMY AT GR,B,'KG - 06,E
'220817004,NEWMAN INTERNATIONAL ACADEMY AT FO,D,'PK - 05,E
'220817005,NEWMAN INTERNATIONAL ACADEMY OF MA,C,'KG - 07,E
'220817006,NEWMAN INTERNATIONAL ACADEMY AT PI,B,'07 - 08,M
'220819001,HIGH POINT ACADEMY,C,'KG - 12,B
'220819002,HIGH POINT ACADEMY SFW,D,'KG - 04,E
'220901001,ARLINGTON H S,B,'09 - 12,S
'220901002,SAM HOUSTON H S,C,'09 - 12,S
'220901003,LAMAR H S,C,'09 - 12,S
'220901004,BOWIE H S,B,'09 - 12,S
'220901005,MARTIN H S,B,'09 - 12,S
'220901006,VENTURE ALTER H S,D,'09 - 12,S
'220901007,TURNING POINT SECONDARY SCHOOL,Not Rated,'07 - 12,S
'220901008,NEWCOMER CENTER,B,'07 - 10,S
'220901009,SEGUIN H S,B,'09 - 12,S
'220901010,TARRANT CO J J A E P,Not Rated,'07 - 11,S
'220901011,ARLINGTON COLLEGIATE H S,A,'09 - 12,S
'220901041,CARTER J H,C,'07 - 08,M
'220901045,BAILEY J H,B,'07 - 08,M
'220901047,GUNN J H,B,'07 - 08,M
'220901048,SHACKELFORD J H,B,'07 - 08,M
'220901049,YOUNG J H,A,'07 - 08,M
'220901050,WORKMAN J H,C,'07 - 08,M
'220901051,BOLES J H,B,'07 - 08,M
'220901052,BARNETT J H,B,'07 - 08,M
'220901053,NICHOLS J H,C,'07 - 08,M
'220901055,OUSLEY J H,B,'07 - 08,M
'220901101,BERRY EL,D,'EE - 06,E
'220901102,BLANTON EL,D,'EE - 06,E
'220901103,CROW EL,D,'KG - 06,E
'220901104,DUFF EL,A,'PK - 06,E
'220901105,COMMUNITY BASED PK,A,'PK - PK,E
'220901107,KOOKEN ED CTR,B,'EE - PK,E
'220901109,RANKIN EL,D,'PK - 06,E
'220901110,ROARK EL,C,'PK - 06,E
'220901111,SOUTH DAVIS EL,D,'PK - 06,E
'220901112,SPEER EL,F,'PK - 06,E
'220901113,SWIFT EL,C,'EE - 06,E
'220901114,THORNTON EL,D,'PK - 06,E
'220901116,WIMBISH EL,F,'PK - 06,E
'220901117,HILL EL,C,'PK - 06,E
'220901119,GOODMAN EL,C,'PK - 06,E
'220901120,POPE EL,C,'EE - 06,E
'220901121,JOHNS EL,C,'PK - 06,E
'220901123,SHORT EL,F,'PK - 06,E
'220901124,AMOS EL,B,'PK - 06,E
'220901125,DUNN EL,C,'EE - 06,E
'220901126,FOSTER EL,C,'EE - 06,E
'220901128,KEY EL,C,'KG - 06,E
'220901129,BUTLER EL,A,'KG - 06,E
'220901130,DITTO EL,B,'KG - 06,E
'220901131,MORTON EL,D,'PK - 06,E
'220901132,ATHERTON EL,C,'PK - 06,E
'220901133,WOOD EL,C,'PK - 06,E
'220901134,SHERROD EL,C,'EE - 06,E
'220901135,MILLER EL,C,'EE - 06,E
'220901136,FITZGERALD EL,A,'PK - 06,E
'220901137,COREY FINE ARTS / DUAL LANGUAGE AC,B,'KG - 06,E
'220901140,STARRETT EL,C,'PK - 06,E
'220901141,BEBENSEE EL,C,'EE - 06,E
'220901142,ELLIS EL,D,'PK - 06,E
'220901143,FARRELL EL,B,'PK - 06,E
'220901144,MOORE EL,B,'PK - 06,E
'220901145,WILLIAMS EL,C,'EE - 06,E
'220901146,LITTLE EL,B,'EE - 06,E
'220901147,BRYANT EL,B,'PK - 06,E
'220901148,WEBB EL,D,'PK - 06,E
'220901149,ASHWORTH EL,B,'PK - 06,E
'220901150,CROUCH EL,C,'KG - 06,E
'220901151,LARSON EL,D,'PK - 06,E
'220901152,WEST EL,B,'PK - 06,E
'220901153,HALE EL,D,'PK - 06,E
'220901154,PEARCY EL,B,'EE - 06,E
'220901155,BURGIN EL,C,'EE - 06,E
'220901157,KNOX EL,C,'PK - 06,E
'220901158,BECKHAM EL,B,'PK - 06,E
'220901159,REMYNSE EL,C,'PK - 06,E
'220901160,ANDERSON EL,C,'EE - 06,E
'220901161,ADAMS EL,C,'EE - 06,E
'220901162,PATRICK EL,D,'EE - 06,E
'220901163,JONES FINE ARTS / DUAL LANGUAGE AC,C,'KG - 06,E
'220901164,PEACH EL,D,'EE - 06,E
'220901165,MCNUTT EL,C,'EE - 06,E
'220902001,HALTOM H S,B,'09 - 12,S
'220902002,RICHLAND H S,B,'09 - 12,S
'220902009,TARRANT CO J J A E P,Not Rated,'08 - 12,S
'220902010,BIRDVILLE H S,B,'09 - 12,S
'220902012,SHANNON H S,D,'09 - 12,S
'220902041,HALTOM MIDDLE,B,'06 - 08,M
'220902042,NORTH RICHLAND MIDDLE,B,'06 - 08,M
'220902043,RICHLAND MIDDLE,C,'06 - 08,M
'220902044,NORTH OAKS MIDDLE,C,'06 - 08,M
'220902045,WATAUGA MIDDLE,B,'06 - 08,M
'220902046,SMITHFIELD MIDDLE,A,'06 - 08,M
'220902047,NORTH RIDGE MIDDLE,B,'06 - 08,M
'220902101,BIRDVILLE EL,B,'EE - 05,E
'220902102,DAVID E SMITH EL,B,'PK - 05,E
'220902103,W T FRANCISCO EL,B,'PK - 05,E
'220902104,JACK C BINION EL,C,'PK - 05,E
'220902105,ALLIENE MULLENDORE EL,B,'EE - 05,E
'220902106,RICHLAND EL,B,'EE - 05,E
'220902107,SMITHFIELD EL,A,'PK - 05,E
'220902108,SNOW HEIGHTS EL,B,'KG - 05,E
'220902109,MAJOR CHENEY EL AT SOUTH BIRDVILLE,B,'PK - 05,E
'220902110,O H STOWE EL,B,'KG - 05,E
'220902111,WEST BIRDVILLE EL,B,'EE - 05,E
'220902112,HOLIDAY HEIGHTS EL,C,'EE - 05,E
'220902113,WATAUGA EL,C,'KG - 05,E
'220902114,GRACE E HARDEMAN EL,A,'PK - 05,E
'220902115,W A PORTER EL,A,'EE - 05,E
'220902116,ACADEMY AT CARRIE F THOMAS,B,'PK - 05,E
'220902117,FOSTER VILLAGE EL,C,'PK - 05,E
'220902118,NORTH RIDGE EL,A,'KG - 05,E
'220902119,JOHN D SPICER EL,B,'EE - 05,E
'220902120,GREEN VALLEY EL,A,'EE - 05,E
'220902121,WALKER CREEK EL,B,'PK - 05,E
'220904001,EVERMAN H S,B,'09 - 12,S
'220904003,EVERMAN ACADEMY H S,B,'10 - 12,S
'220904041,CHARLES BAXTER J H,B,'07 - 08,M
'220904042,ROY JOHNSON SIXTH GRADE CAMPUS,C,'06 - 06,M
'220904101,BISHOP EL,B,'EE - 04,E
'220904102,E RAY EL,B,'PK - 04,E
'220904103,SOUDER EL,C,'PK - 04,E
'220904104,HOMMEL EL,C,'PK - 04,E
'220904105,DAN POWELL INT,D,'05 - 05,E
'220904106,JOHN AND POLLY TOWNLEY EL,F,'EE - 04,E
'220905001,CARTER-RIVERSIDE H S,C,'09 - 12,S
'220905002,ARLINGTON HEIGHTS H S,C,'09 - 12,S
'220905003,SOUTH HILLS H S,C,'09 - 12,S
'220905004,DIAMOND HILL-JARVIS H S,D,'09 - 12,S
'220905005,DUNBAR H S,C,'09 - 12,S
'220905006,EASTERN HILLS H S,D,'09 - 12,S
'220905008,NORTH SIDE H S,C,'09 - 12,S
'220905009,POLYTECHNIC H S,C,'09 - 12,S
'220905010,PASCHAL H S,B,'09 - 12,S
'220905011,TRIMBLE TECHNICAL H S,B,'09 - 12,S
'220905014,SOUTHWEST H S,C,'09 - 12,S
'220905015,WESTERN HILLS H S,C,'09 - 12,S
'220905016,O D WYATT H S,C,'09 - 12,S
'220905018,MIDDLE LVL LRN CTR,Not Rated,'06 - 08,M
'220905019,METRO OPPORTUNITY,Not Rated,'09 - 12,S
'220905021,SUCCESS H S,D,'09 - 12,S
'220905024,DETENT CTR,Not Rated,'06 - 11,B
'220905026,JO KELLY SP ED,Not Rated,'EE - 12,B
'220905035,TRANSITION CTR,Not Rated,'12 - 12,S
'220905040,JUVENILE JUSTICE ALTERNATIVE ED PR,Not Rated,'07 - 12,S
'220905042,DAGGETT MIDDLE,C,'06 - 08,M
'220905043,WEDGWOOD 6TH GR SCH,F,'06 - 06,M
'220905044,ELDER MIDDLE,D,'06 - 08,M
'220905045,FOREST OAK MIDDLE,C,'06 - 08,M
'220905047,HANDLEY MIDDLE,F,'06 - 08,M
'220905048,JAMES MIDDLE,F,'06 - 08,M
'220905049,KIRKPATRICK MIDDLE,D,'06 - 08,M
'220905050,MCLEAN MIDDLE,B,'06 - 08,M
'220905051,MEACHAM MIDDLE,C,'06 - 08,M
'220905052,MEADOWBROOK MIDDLE,C,'06 - 08,M
'220905053,MONNIG MIDDLE,C,'06 - 08,M
'220905054,MORNINGSIDE MIDDLE,F,'06 - 08,M
'220905055,APPLIED LEARNING ACAD,B,'06 - 08,M
'220905056,RIVERSIDE MIDDLE,D,'06 - 08,M
'220905057,ROSEMONT MIDDLE,C,'06 - 08,M
'220905058,STRIPLING MIDDLE,B,'06 - 08,M
'220905059,J MARTIN JACQUET MIDDLE,F,'06 - 08,M
'220905060,WEDGWOOD MIDDLE,C,'06 - 08,M
'220905061,LEONARD MIDDLE,F,'06 - 08,M
'220905062,INT'L NEWCOMER ACAD,C,'06 - 09,M
'220905063,COMO MONTESSORI,F,'KG - 08,E
'220905064,GLENCREST 6TH GRADE SCH,F,'06 - 06,M
'220905066,WILLOUGHBY HOUSE,Not Rated,'07 - 10,S
'220905067,ROSEMONT 6TH GRADE,F,'06 - 06,M
'220905069,MCLEAN 6TH GRADE,C,'06 - 06,M
'220905070,JEAN MCCLUNG MIDDLE,F,'06 - 08,M
'220905071,BENBROOK MIDDLE/HIGH SCHOOL,C,'06 - 12,B
'220905081,YOUNG WOMEN'S LEADERSHIP ACADEMY,A,'06 - 12,B
'220905082,TEXAS ACADEMY OF BIOMEDICAL,A,'09 - 12,S
'220905083,YOUNG MEN'S LEADERSHIP ACADEMY,A,'06 - 12,B
'220905084,WORLD LANGUAGES INSTITUTE,B,'06 - 11,B
'220905085,MARINE CREEK COLLEGIATE H S,A,'09 - 12,S
'220905086,TARRANT CO COLLEGE SOUTH/FORT WORT,A,'09 - 12,S
'220905087,IM TERRELL ACADEMY FOR STEM AND VP,A,'09 - 09,S
